author,updated_at,like_count,text,public
@user-hr4pe7ly8h,2024-04-16T06:19:34Z,2,💜,True
@johnhernandez7339,2024-04-16T06:09:09Z,0,"dice ustedes van a estar en el infierno,Mateo 7, 1-5 En aquel tiempo, dijo Jesús a sus discípulos: «No juzguéis, para que no seáis juzgados. Porque seréis juzgados como juzguéis vosotros, y la medida que uséis, la usarán con vosotros.",True
@fromarianiewithlove,2024-04-16T06:07:50Z,0,🤍🤍🤍 Amen,True
@user-tt2nn8kw5y,2024-04-16T04:38:21Z,1,❤️❤️❤️❤️,True
@user-zi4qj3ko4j,2024-04-16T04:14:00Z,1,❤❤❤,True
@fabianbaron9311,2024-04-16T03:17:42Z,3,Señores... acabamos de conocer al verdadero artista..Dady Yanke el que tiene el mensaje que llega el que pasó por el infierno para volverse sabio y contar su experiencia,True
@OscarGonzalez-hq1mr,2024-04-16T03:06:27Z,1,"Que el Señor te siga colmando de bendiciones. Gloria a Dios. De la mano del Leon de Juda, Jesucristo. El alfa y la omega el dueño del tiempo y del espacio.",True
@andresayala8980,2024-04-16T02:48:54Z,1,bendiciones mi hermano en cristo,True
@gamalielsuarez3158,2024-04-16T02:34:46Z,2,Lindo negoció se armó..se canso de hacer música para el  mundo y ahora quiere hacerla con la música cristiana..que bárbaro..,True
@josianvega-ortiz7200,2024-04-16T02:12:28Z,2,"La esencia del BOSS y él dueño de PR Muchas Bendiciones para ti DY y sigue haciendo tesoros en él cielo, AMÉN PADRE HIJO E SPIRITU SANTO 🙏",True
@mepicanloscocos9312,2024-04-16T02:00:21Z,1,❤❤AMÈN 🔥💝💝,True
@giovannivaldez9199,2024-04-16T00:34:12Z,1,ameenn,True
@samuovejerosokcoc1715,2024-04-16T00:10:47Z,1,grandeee,True
@MichaelMaiv,2024-04-15T22:46:32Z,3,Y lo más falso es que no reconocen que son unos falsos 🎵,True
@yolimarmeneses5989,2024-04-15T21:41:53Z,0,No  temer,True
@yolimarmeneses5989,2024-04-15T21:40:38Z,1,En  todo  dios  y  Jesús  te  bendiga  el  te ama  amén 🙌 🙏 💕,True
@aminadabreyeslinarez3014,2024-04-15T21:08:44Z,1,Ni redimi2 sonó tan duro en toda su musica. Por qué? Por qué nadie pega más duro que el creador. Facinanate lo que Dios hace!,True
@ingrisitasthelllima664,2024-04-15T20:22:57Z,1,Me gusta esta canción ♥︎ que dios nos bendiga.,True
@Eiden-qw7hd,2024-04-15T19:45:47Z,1,💜,True
@josegarcia-bz8ct,2024-04-15T19:30:02Z,1,Gloria a Diosssssssssss lo sabía eres de el santo 😂gloria a Dios en el nombre de Jesús,True
@user-nosjdifor,2024-04-15T19:23:54Z,0,🔥😎,True
@tonybrito5037,2024-04-15T19:22:51Z,0,Amén muy linda canción,True
