author,updated_at,like_count,text,public
@cabellero1120,2024-03-29T22:27:18Z,1,"These videos are So good!
He really sings his heart out in here!
I just Love his voice!

The first time i heard Something Real, I must have cried for a half hour!!

His music is like a punch in the gut! It's so Raw!

Wow!
👍🎶💯😢😎",True
@mcorriganuk,2024-03-29T20:53:46Z,1,I prefer this live version to your recorded,True
@JacquelineSittimy,2024-03-29T18:06:07Z,1,"Tremendamente,  linda! No violão,  é  um iluminado...😊JACQUELLINE  SITTIMY",True
@JacquelineSittimy,2024-03-29T18:02:22Z,1,"Espetacular,  está música  de muito bom gosto.Perfeita!❤Jacquelline  Sittimy.",True
@alecveysilart2879,2024-03-29T11:56:06Z,0,Just amazing.. thank you for everyting! Also i love that strager things vibe.. speechless!,True
@jordnsworld,2024-03-28T19:36:24Z,1,"My 5yr old son asked me the other day, ""Umm dad, can we pleaae go see Post Malone one day?"" I said ""Absolutely buddy, I would love that 🥲""",True
@yoldaniatavera1232,2024-03-28T16:10:31Z,0,P,True
@fx1883.,2024-03-28T07:57:32Z,0,This is the best piece of art anyone has put out in the last 30 years Holy fuck,True
@katleeBalboaStJulian,2024-03-28T06:29:56Z,0,Your disabled soul sister❤,True
@BrandyBilliot-gj5vb,2024-03-28T04:02:21Z,0,❤,True
@JacquelineSittimy,2024-03-28T02:14:00Z,1,"De muito  bom  gosto, essa música. Boa se ouvir, parece um lamento. Cantada com muito, estilo❤.Jacquelline  Sittimy.",True
@obyram,2024-03-27T10:56:19Z,0,Defs sucked Diddy ck,True
@elizabethpolkowski6319,2024-03-27T04:53:18Z,1,Post is an old soul mis all I got to say...... I havent heard to much music I really connect with these days... and I'm 63 years old.  Now that's saying something,True
@melanieriki,2024-03-26T09:50:59Z,1,I LOVE THESE 3 SONGS!!! ❤❤❤,True
@Gamer_Mythic_Templar,2024-03-26T06:20:56Z,0,What's the name/Remix name,True
@JacquelineSittimy,2024-03-26T02:55:06Z,1,"Ele é  o melhor, incomparável,  sem comentários. Olha  ele tocando violão  é  encantador. JACQUELLINE  SITTIMY 😊",True
@JacquelineSittimy,2024-03-26T02:52:16Z,0,"Olha só,  esta música,  Show de bola, canta muito e com o coração.  É  um iluminado!❤ Jacquelline Sittimy. 😊",True
@saotoughlove,2024-03-26T00:20:36Z,0,"I spend my nights on overdrive 
I live my life so overtired 
And there's nowhere I can hide 
Now I live my life on overdrive

I could be more like him 
If that's cool with you 
I'd do anything to be cool to you 
Cool to you

I spend my nights on overdrive

I live my life so uninspired 
There ain't no angels in this world 
So I live my life on overdrive

I'd remove my tattoos 
If that's cool to you 
I'd do anything to be cool to you 
Cool to you, uh

I could end it with her 
If that's cool to you 
I'd do anything to be cool to you",True
@CainEbony,2024-03-25T21:48:34Z,0,Post Malone I know it is very rare for you to respond to comments but I really hope you see this one. Post Malone I am a music artist but with no music out and I know you don’t just do opportunities like this but I thought I could still take a risk and ask would you like to make my first song together. Because your music is amazing just the way it flows and you just have so much potential with everything you do when it comes down to music so if you want to make a song together just let me know thank you post Malone.,True
@Jo_Krystelle,2024-03-25T21:45:39Z,1,Here from 2050🎉,True
@Aaronsdadmt,2024-03-25T13:56:59Z,1,Post alone I’m a big fan,True
@prashantvlog9280,2024-03-25T09:09:45Z,0,https://youtu.be/2miymOWibBA?si=IoatgeNfVfCrILHp,True
@user-fd1ji8jf4f,2024-03-25T08:10:54Z,1,"The whole Austin album is phenomenal! Each song is it's own vibe. And with each song it feels like I have taken a drug, it's amazing how talented and awesome you are Austin Post! You're a legend!",True
@ConnieNelson-ss9fx,2024-03-25T05:25:50Z,0,I have been thrown to the wolves by no good men too Post Malone,True
@ardkoroz9344,2024-03-25T03:03:50Z,0,"In distress he is ""the one"" thank you post!!!!🎉",True
